MiniDOT Logger Concatenated Data File
Sensor:             7392-798741
Concatenation Date: 2021May25 14:13:22 PDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at pressure: 1017.0 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1621895400,           2021-05-24 22:30:00,           2021-05-24 15:30:00,      3.500000,     18.714000,          8.650000,                    92.363875,      0.997000
                1621896300,           2021-05-24 22:45:00,           2021-05-24 15:45:00,      3.500000,     18.470000,          8.702000,                    92.459547,      0.999000
                1621897200,           2021-05-24 23:00:00,           2021-05-24 16:00:00,      3.500000,     18.486000,          8.678000,                    92.234584,      0.999000
                1621898100,           2021-05-24 23:15:00,           2021-05-24 16:15:00,      3.500000,     18.486000,          8.690000,                    92.362127,      1.001000
                1621899000,           2021-05-24 23:30:00,           2021-05-24 16:30:00,      3.510000,     18.453000,          8.676000,                    92.151387,      0.998000
                1621899900,           2021-05-24 23:45:00,           2021-05-24 16:45:00,      3.500000,     18.486000,          8.690000,                    92.362127,      1.000000
                1621900800,           2021-05-25 00:00:00,           2021-05-24 17:00:00,      3.500000,     18.512000,          8.692000,                    92.432281,      1.001000
                1621901700,           2021-05-25 00:15:00,           2021-05-24 17:15:00,      3.510000,     18.537000,          8.658000,                    92.117556,      0.999000
                1621902600,           2021-05-25 00:30:00,           2021-05-24 17:30:00,      3.500000,     18.545000,          8.664000,                    92.196393,      0.999000
                1621903500,           2021-05-25 00:45:00,           2021-05-24 17:45:00,      3.500000,     18.588000,          8.653000,                    92.159866,      0.999000
                1621904400,           2021-05-25 01:00:00,           2021-05-24 18:00:00,      3.510000,     18.596000,          8.660000,                    92.249415,      0.999000
                1621905300,           2021-05-25 01:15:00,           2021-05-24 18:15:00,      3.500000,     18.604000,          8.656000,                    92.221795,      0.999000
                1621906200,           2021-05-25 01:30:00,           2021-05-24 18:30:00,      3.500000,     18.638000,          8.662000,                    92.349472,      1.000000
                1621907100,           2021-05-25 01:45:00,           2021-05-24 18:45:00,      3.500000,     18.663000,          8.661000,                    92.385688,      1.001000
